"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","127418","True"
"SampleNumber","CS","MISO","MOSI","SCK"
"0007659","0","1","1","0"
"0007660","0","0","1","0"
"0007682","0","1","1","0"
"0007683","0","0","1","0"
"0007690","0","1","1","0"
"0007691","0","0","1","0"
"0007695","0","1","1","0"
"0007696","0","0","1","0"
"0007720","0","1","1","0"
"0007721","0","0","1","0"
"0007728","0","1","1","0"
"0007729","0","0","1","0"
"0007737","0","1","1","0"
"0007738","0","0","1","0"
"0007742","0","1","1","0"
"0007743","0","0","1","0"
"0007744","0","0","1","0"
"0007745","0","1","1","0"
"0007746","0","0","1","0"
"0007750","0","1","1","0"
"0007751","0","0","1","0"
"0007770","0","1","1","0"
"0007771","0","0","1","0"
"0007845","0","1","1","0"
"0007846","0","0","1","0"
"0007850","0","1","1","0"
"0007851","0","0","1","0"
"0007852","0","0","1","0"
"0007853","0","1","1","0"
"0007854","0","1","1","0"
"0007855","0","0","1","0"
"0007874","0","1","1","0"
"0007875","0","1","1","0"
"0007876","0","0","1","0"
"0008544","0","1","1","0"
"0008545","0","0","1","0"
"0008694","0","1","1","0"
"0008695","0","0","1","0"
"0008810","0","1","1","0"
"0008811","0","0","1","0"
"0008812","0","0","1","0"
"0008813","0","1","1","0"
"0008814","0","0","1","0"
"0008825","0","1","1","0"
"0008826","0","0","1","0"
"0008827","0","0","1","0"
"0008828","0","1","1","0"
"0008829","0","0","1","0"
"0008836","0","1","1","0"
"0008837","0","0","1","0"
"0009198","0","1","1","0"
"0009199","0","0","1","0"
"0009389","0","1","1","0"
"0009390","0","0","1","0"
"0009514","0","1","1","0"
"0009515","0","0","1","0"
"0009572","0","1","1","0"
"0009573","0","0","1","0"
"0009655","0","1","1","0"
"0009656","0","0","1","0"
"0009657","0","0","1","0"
"0009658","0","1","1","0"
"0009659","0","0","1","0"
"0009670","0","1","1","0"
"0009671","0","0","1","0"
"0009678","0","1","1","0"
"0009679","0","0","1","0"
"0009680","0","0","1","0"
"0009681","0","1","1","0"
"0009682","0","0","1","0"
"0009710","0","1","1","0"
"0009711","0","0","1","0"
"0009716","0","1","1","0"
"0009717","0","0","1","0"
"0009721","0","1","1","0"
"0009722","0","0","1","0"
"0009741","0","1","1","0"
"0009742","0","0","1","0"
"0009749","0","1","1","0"
"0009750","0","0","1","0"
