"SamplePeriod","TriggerSample","CompressedData"
"0.000000005","3293612405","True"
"SampleNumber","CS_A","CS_B","SCK_A","MOSI_A","MISO_B","MISO_A","SCK_B","MOSI_B"
"0000000000","0","0","0","0","0","0","0","0"
"0100000001","0","0","0","0","1","0","0","0"
"0100000002","0","0","0","0","1","1","0","0"
"0100000003","0","1","0","0","1","1","0","0"
"0100000004","0","1","0","0","1","1","0","0"
"0100000005","0","0","0","0","1","1","0","0"
"1738308291","0","0","0","0","0","0","0","0"
"1738309114","0","0","0","0","0","0","0","1"
"1738309115","0","0","0","1","0","0","0","1"
"1738309483","0","1","0","1","0","0","0","1"
"1738309484","0","1","0","1","0","0","0","1"
"1738309485","1","1","0","1","0","0","0","1"
"1738309486","1","1","0","1","0","0","0","1"
"1738309487","0","0","0","1","0","0","0","1"
"1738309490","0","1","0","1","0","0","0","1"
"1738309491","0","1","0","1","1","0","1","1"
"1738309492","0","1","0","1","0","0","1","1"
"1738309493","0","0","0","1","0","0","0","1"
"1738309494","0","0","0","1","0","0","0","1"
"1738309495","0","1","0","1","0","0","0","1"
"1738309496","1","1","0","1","0","0","0","1"
"1738309497","1","1","0","1","0","0","1","1"
"1738309498","0","0","0","1","0","0","1","1"
"1738309499","0","0","0","1","0","0","0","1"
"1738309500","0","1","0","1","0","0","0","1"
"1738309501","1","1","0","1","0","0","0","1"
"1738309502","1","1","0","1","0","0","0","1"
"1738309503","0","1","0","1","0","0","0","1"
"1738309504","0","0","0","1","0","0","0","1"
"1738309505","0","0","0","1","0","0","0","1"
"1738309506","0","1","0","1","0","0","0","1"
"1738309507","1","1","0","1","0","0","0","1"
"1738309508","1","1","0","1","0","0","1","1"
"1738309509","0","0","0","1","0","0","1","1"
"1738309510","0","0","0","0","0","0","0","1"
"1738309511","0","0","0","1","0","0","0","1"
"1738309512","1","1","0","1","0","0","0","1"
"1738309513","1","1","0","1","0","0","0","1"
"1738309514","0","1","0","1","0","0","0","1"
"1738309515","0","0","0","1","0","0","0","1"
"1738309516","0","0","0","1","0","0","0","1"
"1738309517","0","1","0","1","0","0","0","1"
"1738309518","1","1","0","1","0","0","0","1"
"1738309519","1","1","0","1","0","0","1","1"
"1738309520","0","0","0","1","0","0","1","1"
"1738309521","0","0","0","0","0","0","0","1"
"1738309522","0","0","0","1","0","0","0","1"
"1738309523","1","1","0","1","0","0","0","1"
"1738309524","1","1","0","1","0","0","0","1"
"1738309525","0","1","0","1","0","0","0","1"
"1738309526","0","0","0","1","0","0","0","1"
"1738309527","0","0","0","1","0","0","0","1"
"1738309528","0","1","0","1","0","0","0","1"
"1738309529","1","1","0","1","0","0","0","1"
"1738309530","1","1","0","1","0","0","1","1"
"1738309531","0","0","0","1","0","0","1","1"
"1738309532","0","0","0","0","0","0","0","1"
"1738309533","0","0","0","1","0","0","0","1"
"1738309534","1","1","0","1","0","0","0","1"
"1738309535","1","1","0","1","0","0","0","1"
"1738309536","0","1","0","1","0","0","0","1"
"1738309537","0","0","0","1","0","0","0","1"
"1738309538","0","0","0","1","0","0","0","1"
"1738309539","0","1","0","1","0","0","0","1"
"1738309540","1","1","0","1","0","0","0","1"
"1738309541","1","1","0","1","0","0","1","1"
"1738309542","0","0","0","1","0","0","1","1"
"1738309543","0","0","0","0","0","0","0","1"
"1738309544","0","0","0","1","0","0","0","1"
"1738309545","0","1","0","1","0","0","0","1"
"1738309548","0","0","0","1","0","0","0","1"
"1738309549","0","0","0","1","0","0","0","1"
"1738309550","0","1","0","1","0","0","0","1"
"1738309551","1","1","0","1","0","0","0","1"
"1738309552","1","1","0","1","0","0","1","1"
"1738309553","0","0","0","1","0","0","1","1"
"1738309554","0","0","0","0","0","0","0","1"
