"SamplePeriod","TriggerSample","CompressedData"
"0.000000005","2767116413","True"
"SampleNumber","CS_A","CS_B","SCK_A","MOSI_A","MISO_B","MISO_A","SCK_B","MOSI_B"
"0000000000","0","0","0","1","0","1","0","1"
"0000001185","0","0","0","1","1","1","0","1"
"0000001186","0","0","0","1","0","1","0","1"
"0000001191","0","0","0","1","1","1","0","1"
"0000001192","0","0","0","1","0","1","0","1"
"0000002307","0","0","0","1","1","1","0","1"
"0000002308","0","0","0","1","0","1","0","1"
"0000002339","0","0","0","1","1","1","0","1"
"0000002340","0","0","0","1","1","1","0","1"
"0000002341","0","0","0","1","0","1","0","1"
"0000002838","0","0","0","1","1","1","0","1"
"0000002839","0","0","0","1","1","1","0","1"
"0000002840","0","0","0","1","0","1","0","1"
"0000002869","0","0","0","1","1","1","0","1"
"0000002870","0","0","0","1","0","1","0","1"
"0000002875","0","0","0","1","1","1","0","1"
"0000002876","0","0","0","1","0","1","0","1"
"0000002890","0","0","0","1","1","1","0","1"
"0000002891","0","0","0","1","1","1","0","1"
"0000002892","0","0","0","1","0","1","0","1"
"0000003211","0","0","0","1","1","1","0","1"
"0000003212","0","0","0","1","1","1","0","1"
"0000003213","0","0","0","1","0","1","0","1"
"0000003216","0","0","0","1","1","1","0","1"
"0000003217","0","0","0","1","0","1","0","1"
"0000003252","0","0","0","1","1","1","0","1"
"0000003255","0","0","0","1","0","1","0","1"
"0000004508","0","0","0","1","1","1","0","1"
"0000004509","0","0","0","1","1","1","0","1"
"0000004510","0","0","0","1","0","1","0","1"
"0000004555","0","0","0","1","1","1","0","1"
"0000004556","0","0","0","1","1","1","0","1"
"0000004557","0","0","0","1","0","1","0","1"
"0000004560","0","0","0","1","1","1","0","1"
"0000004561","0","0","0","1","1","1","0","1"
"0000004562","0","0","0","1","0","1","0","1"
"0000006151","0","0","0","1","1","1","0","1"
"0000006152","0","0","0","1","1","1","0","1"
"0000006153","0","0","0","1","0","1","0","1"
"0000006182","0","0","0","1","1","1","0","1"
"0000006183","0","0","0","1","0","1","0","1"
"0000006203","0","0","0","1","1","1","0","1"
"0000006204","0","0","0","1","1","1","0","1"
"0000006205","0","0","0","1","0","1","0","1"
"0000006435","0","0","0","1","1","1","0","1"
"0000006436","0","0","0","1","1","1","0","1"
"0000006437","0","0","0","1","0","1","0","1"
"0000006523","0","0","0","1","1","1","0","1"
"0000006524","0","0","0","1","1","1","0","1"
"0000006525","0","0","0","1","0","1","0","1"
"0000006528","0","0","0","1","1","1","0","1"
"0000006529","0","0","0","1","1","1","0","1"
"0000006530","0","0","0","1","0","1","0","1"
"0000006565","0","0","0","1","1","1","0","1"
"0000006568","0","0","0","1","0","1","0","1"
"0000007825","0","0","0","1","1","1","0","1"
"0000007826","0","0","0","1","0","1","0","1"
"0000008899","0","0","0","1","1","1","0","1"
"0000008900","0","0","0","1","0","1","0","1"
"0000009425","0","0","0","1","1","1","0","1"
"0000009426","0","0","0","1","1","1","0","1"
"0000009427","0","0","0","1","0","1","0","1"
"0000009462","0","0","0","1","1","1","0","1"
"0000009463","0","0","0","1","0","1","0","1"
"0000009472","0","0","0","1","1","1","0","1"
"0000009473","0","0","0","1","0","1","0","1"
"0000009477","0","0","0","1","1","1","0","1"
"0000009478","0","0","0","1","1","1","0","1"
"0000009479","0","0","0","1","0","1","0","1"
"0000009798","0","0","0","1","1","1","0","1"
"0000009801","0","0","0","1","0","1","0","1"
"0000009802","0","0","0","1","0","1","0","1"
"0000009803","0","0","0","1","1","1","0","1"
"0000009804","0","0","0","1","1","1","0","1"
"0000009805","0","0","0","1","0","1","0","1"
"0000009839","0","0","0","1","1","1","0","1"
"0000009842","0","0","0","1","0","1","0","1"
"0000011031","0","0","0","1","1","1","0","1"
"0000011032","0","0","0","1","1","1","0","1"
"0000011033","0","0","0","1","0","1","0","1"
"0000011079","0","0","0","1","1","1","0","1"
"0000011080","0","0","0","1","0","1","0","1"
"0000011083","0","0","0","1","1","1","0","1"
"0000011084","0","0","0","1","1","1","0","1"
"0000011085","0","0","0","1","0","1","0","1"
"0000012914","0","0","0","1","1","1","0","1"
"0000012915","0","0","0","1","0","1","0","1"
"0000013003","0","0","0","1","1","1","0","1"
"0000013004","0","0","0","1","0","1","0","1"
"0000013007","0","0","0","1","1","1","0","1"
"0000013008","0","0","0","1","1","1","0","1"
"0000013009","0","0","0","1","0","1","0","1"
"0000013044","0","0","0","1","1","1","0","1"
"0000013045","0","0","0","1","1","1","0","1"
"0000013046","0","0","0","1","0","1","0","1"
"0000014298","0","0","0","1","1","1","0","1"
"0000014299","0","0","0","1","1","1","0","1"
"0000014300","0","0","0","1","0","1","0","1"
"0000014329","0","0","0","1","1","1","0","1"
"0000014330","0","0","0","1","0","1","0","1"
"0000015419","0","0","0","1","1","1","0","1"
"0000015420","0","0","0","1","0","1","0","1"
"0000015945","0","0","0","1","1","1","0","1"
"0000015946","0","0","0","1","1","1","0","1"
"0000015947","0","0","0","1","0","1","0","1"
"0000016060","0","0","0","1","1","1","0","1"
"0000016061","0","0","0","1","0","1","0","1"
"0000016315","0","0","0","1","1","1","0","1"
"0000016316","0","0","0","1","1","1","0","1"
"0000016317","0","0","0","1","0","1","0","1"
"0000016320","0","0","0","1","1","1","0","1"
"0000016321","0","0","0","1","1","1","0","1"
"0000016322","0","0","0","1","0","1","0","1"
"0000016357","0","0","0","1","1","1","0","1"
"0000016358","0","0","0","1","1","1","0","1"
"0000016359","0","0","0","1","0","1","0","1"
"0000017625","0","0","0","1","1","1","0","1"
"0000017626","0","0","0","1","1","1","0","1"
"0000017627","0","0","0","1","0","1","0","1"
"0000017662","0","0","0","1","1","1","0","1"
"0000017663","0","0","0","1","0","1","0","1"
"0000017672","0","0","0","1","1","1","0","1"
"0000017673","0","0","0","1","0","1","0","1"
"0000017677","0","0","0","1","1","1","0","1"
"0000017678","0","0","0","1","0","1","0","1"
"0000019026","0","0","0","1","1","1","0","1"
"0000019027","0","0","0","1","0","1","0","1"
"0000019225","0","0","0","1","1","1","0","1"
"0000019226","0","0","0","1","1","1","0","1"
"0000019227","0","0","0","1","0","1","0","1"
"0000019231","0","0","0","1","1","1","0","1"
"0000019232","0","0","0","1","0","1","0","1"
"0000019272","0","0","0","1","1","1","0","1"
"0000019273","0","0","0","1","0","1","0","1"
"0000019599","0","0","0","1","1","1","0","1"
"0000019600","0","0","0","1","1","1","0","1"
"0000019601","0","0","0","1","0","1","0","1"
"0000019602","0","0","0","1","0","1","0","1"
"0000019603","0","0","0","1","1","1","0","1"
"0000019604","0","0","0","1","1","1","0","1"
"0000019605","0","0","0","1","0","1","0","1"
"0000019640","0","0","0","1","1","1","0","1"
"0000019643","0","0","0","1","0","1","0","1"
"0000020828","0","0","0","1","1","1","0","1"
"0000020829","0","0","0","1","1","1","0","1"
"0000020830","0","0","0","1","0","1","0","1"
"0000020865","0","0","0","1","1","1","0","1"
"0000020866","0","0","0","1","1","1","0","1"
"0000020867","0","0","0","1","0","1","0","1"
"0000020870","0","0","0","1","1","1","0","1"
"0000020871","0","0","0","1","0","1","0","1"
"0000020880","0","0","0","1","1","1","0","1"
"0000020881","0","0","0","1","0","1","0","1"
"0000022448","0","0","0","1","1","1","0","1"
"0000022449","0","0","0","1","1","1","0","1"
"0000022450","0","0","0","1","0","1","0","1"
"0000022500","0","0","0","1","1","1","0","1"
"0000022501","0","0","0","1","1","1","0","1"
"0000022502","0","0","0","1","0","1","0","1"
"0000022691","0","0","0","1","1","1","0","1"
"0000022692","0","0","0","1","0","1","0","1"
"0000022819","0","0","0","1","1","1","0","1"
"0000022820","0","0","0","1","1","1","0","1"
"0000022821","0","0","0","1","0","1","0","1"
"0000022824","0","0","0","1","1","1","0","1"
"0000022825","0","0","0","1","1","1","0","1"
"0000022826","0","0","0","1","0","1","0","1"
"0000022860","0","0","0","1","1","1","0","1"
"0000022863","0","0","0","1","0","1","0","1"
"0000024092","0","0","0","1","1","1","0","1"
"0000024093","0","0","0","1","1","1","0","1"
"0000024094","0","0","0","1","0","1","0","1"
"0000024098","0","0","0","1","1","1","0","1"
"0000024099","0","0","0","1","1","1","0","1"
"0000024100","0","0","0","1","0","1","0","1"
"0000024114","0","0","0","1","1","1","0","1"
"0000024115","0","0","0","1","0","1","0","1"
"0000025918","0","0","0","1","1","1","0","1"
"0000025919","0","0","0","1","1","1","0","1"
"0000025920","0","0","0","1","0","1","0","1"
"0000025955","0","0","0","1","1","1","0","1"
"0000025956","0","0","0","1","0","1","0","1"
"0000026290","0","0","0","1","1","1","0","1"
"0000026291","0","0","0","1","1","1","0","1"
"0000026292","0","0","0","1","0","1","0","1"
"0000026295","0","0","0","1","1","1","0","1"
"0000026296","0","0","0","1","1","1","0","1"
"0000026297","0","0","0","1","0","1","0","1"
"0000026332","0","0","0","1","1","1","0","1"
"0000026333","0","0","0","1","1","1","0","1"
"0000026334","0","0","0","1","0","1","0","1"
"0000027370","0","0","0","1","1","1","0","1"
"0000027371","0","0","0","1","1","1","0","1"
"0000027372","0","0","0","1","0","1","0","1"
"0000027902","0","0","0","1","1","1","0","1"
"0000027903","0","0","0","1","0","1","0","1"
"0000027938","0","0","0","1","1","1","0","1"
"0000027939","0","0","0","1","1","1","0","1"
"0000027940","0","0","0","1","0","1","0","1"
"0000029842","0","0","0","1","1","1","0","1"
"0000029843","0","0","0","1","0","1","0","1"
"0000030210","0","0","0","1","1","1","0","1"
"0000030211","0","0","0","1","1","1","0","1"
"0000030212","0","0","0","1","0","1","0","1"
"0000030215","0","0","0","1","1","1","0","1"
"0000030216","0","0","0","1","1","1","0","1"
"0000030217","0","0","0","1","0","1","0","1"
"0000030220","0","0","0","1","1","1","0","1"
"0000030221","0","0","0","1","1","1","0","1"
"0000030222","0","0","0","1","0","1","0","1"
"0000030256","0","0","0","1","1","1","0","1"
"0000030259","0","0","0","1","0","1","0","1"
"0000031299","0","0","0","1","1","1","0","1"
"0000031300","0","0","0","1","0","1","0","1"
"0000031825","0","0","0","1","1","1","0","1"
"0000031826","0","0","0","1","1","1","0","1"
"0000031827","0","0","0","1","0","1","0","1"
